,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kyle Lofton,39,5,10,.500,5,8,.625,0,2,.000,2,5,.400,2,1,3,3,2,0,4,2,12
1,Jalen Poyser,35,3,13,.231,1,3,.333,2,10,.200,4,6,.667,0,3,3,0,0,0,2,4,12
2,LaDarien Griffin,16,1,2,.500,1,2,.500,0,0,,3,5,.600,2,1,3,2,0,1,3,1,5
3,Courtney Stockard,15,1,5,.200,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,7,4,2
4,Amadi Ikpeze,9,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,2,1
5,Osun Osunniyi,31,2,3,.667,2,3,.667,0,0,,0,0,,1,6,7,1,0,3,1,2,4
6,Nelson Kaputo,22,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,2,3,0,2,2,3
7,Melkisedek Moreaux,20,2,5,.400,2,5,.400,0,0,,3,4,.750,2,1,3,0,0,0,3,1,7
8,Alpha Okoli,8,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,1,2,0,1,0,1,2,2
9,Tshiefu Ngalakulondi,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Jason Lee,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Jack Galatio,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
