,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Leon Gilmore III,27,4,7,.571,4,6,.667,0,1,.000,2,6,.333,4,6,10,0,1,1,1,2,10
1,TJ Holyfield,27,1,5,.200,0,3,.000,1,2,.500,4,4,1.000,2,5,7,1,0,1,4,4,7
2,Ivan Canete,24,2,5,.400,2,4,.500,0,1,.000,2,2,1.000,1,2,3,1,1,0,2,2,6
3,Kevon Harris,23,3,12,.250,2,8,.250,1,4,.250,0,2,.000,1,2,3,0,0,0,1,0,7
4,Aaron Augustin,21,0,1,.000,0,0,,0,1,.000,1,2,.500,0,2,2,0,2,0,2,2,1
5,Shannon Bogues,26,5,14,.357,5,11,.455,0,3,.000,5,6,.833,3,3,6,1,3,1,1,1,15
6,Ty Charles,19,1,3,.333,1,3,.333,0,0,,0,2,.000,0,0,0,2,1,0,1,2,2
7,John Comeaux,16,1,3,.333,1,3,.333,0,0,,2,2,1.000,0,1,1,1,4,0,0,2,4
8,Samuli Nieminen,15,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,3,3,2
9,Stefon Fisher,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
