,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kenny Aninye,37,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,0,4,4,4,2,0,2,2,7
1,Abayomi Iyiola,34,7,13,.538,7,13,.538,0,0,,2,2,1.000,7,6,13,2,3,4,1,2,16
2,Leo Goodman,27,5,13,.385,5,12,.417,0,1,.000,0,0,,0,4,4,2,0,0,1,1,10
3,Jahlil Rawley,14,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0
4,Keith Matthews,9,1,3,.333,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2
5,Christiaan Jones,33,6,14,.429,6,11,.545,0,3,.000,3,6,.500,3,3,6,4,1,0,0,0,15
6,Jalen Crutchfield,19,6,9,.667,3,3,1.000,3,6,.500,0,0,,0,3,3,0,0,0,0,3,15
7,Marques Sumner,11,1,5,.200,1,4,.250,0,1,.000,0,0,,1,2,3,1,0,0,0,0,2
8,Ricardo Lynch,10,0,7,.000,0,5,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0
9,Ricky Gouety,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
