,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Oshae Brissett,38,6,11,.545,6,10,.600,0,1,.000,4,8,.500,4,8,12,2,3,2,2,1,16
1,Tyus Battle,37,8,15,.533,7,13,.538,1,2,.500,6,8,.750,0,2,2,2,2,0,4,3,23
2,Elijah Hughes,37,4,12,.333,0,3,.000,4,9,.444,5,5,1.000,0,2,2,2,1,2,4,3,17
3,Paschal Chukwu,18,0,0,,0,0,,0,0,,0,0,,1,2,3,0,0,2,0,4,0
4,Frank Howard,14,0,2,.000,0,0,,0,2,.000,0,3,.000,0,0,0,0,0,0,3,1,0
5,Buddy Boeheim,26,3,10,.300,3,4,.750,0,6,.000,0,0,,1,2,3,1,1,0,3,1,6
6,Marek Dolezaj,24,0,1,.000,0,1,.000,0,0,,0,0,,3,1,4,0,1,1,1,0,0
7,Ky Feldman,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Ray Featherston,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Adrian Autry,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
10,Jalen Carey,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0
11,Antonio Balandi,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Brendan Paul,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
