,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shizz Alston Jr.,37,6,14,.429,2,7,.286,4,7,.571,2,2,1.000,0,1,1,4,2,3,2,2,18
1,Quinton Rose,34,7,16,.438,7,13,.538,0,3,.000,2,5,.400,1,5,6,6,2,1,1,2,16
2,Nate Pierre-Louis,33,6,13,.462,4,8,.500,2,5,.400,2,2,1.000,1,1,2,1,2,0,0,3,16
3,De'Vondre Perry,17,2,4,.500,2,4,.500,0,0,,1,1,1.000,0,1,1,2,2,1,1,0,5
4,Ernest Aflakpui,16,5,5,1.000,5,5,1.000,0,0,,0,0,,0,5,5,0,0,1,0,3,10
5,J.P. Moorman II,23,1,5,.200,1,2,.500,0,3,.000,2,2,1.000,2,4,6,5,1,0,1,0,4
6,Alani Moore II,18,0,5,.000,0,1,.000,0,4,.000,2,2,1.000,1,1,2,1,0,0,1,1,2
7,Damion Moore,13,3,3,1.000,3,3,1.000,0,0,,2,2,1.000,2,1,3,0,0,0,0,2,8
8,Justyn Hamilton,8,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,2
9,Quentin Jackson Jr.,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
