,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lamonte Turner,33,8,10,.800,5,5,1.000,3,5,.600,4,6,.667,1,1,2,5,2,1,1,1,23
1,Jordan Bone,33,4,9,.444,4,8,.500,0,1,.000,1,1,1.000,0,5,5,5,1,0,4,0,9
2,Grant Williams,32,5,8,.625,5,7,.714,0,1,.000,9,12,.750,2,1,3,4,3,1,4,1,19
3,Admiral Schofield,31,5,16,.313,4,11,.364,1,5,.200,3,4,.750,2,8,10,2,1,1,5,1,14
4,Kyle Alexander,12,1,3,.333,1,3,.333,0,0,,0,0,,3,1,4,0,0,2,1,5,2
5,Jordan Bowden,26,6,12,.500,4,8,.500,2,4,.500,1,1,1.000,0,1,1,2,1,0,1,3,15
6,John Fulkerson,12,0,1,.000,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,3,1
7,Yves Pons,10,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
8,Derrick Walker,9,0,0,,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,3,0
9,Jalen Johnson,2,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
