,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Wendell Mitchell,37,10,23,.435,7,16,.438,3,7,.429,0,0,,0,4,4,4,4,1,6,4,23
1,Savion Flagg,32,1,10,.100,1,5,.200,0,5,.000,0,2,.000,0,2,2,2,0,0,3,2,2
2,Jay Jay Chandler,16,2,5,.400,2,4,.500,0,1,.000,0,0,,1,2,3,2,3,0,3,3,4
3,Christian Mekowulu,15,1,3,.333,1,3,.333,0,0,,0,0,,1,3,4,2,0,0,1,3,2
4,TJ Starks,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,2,1,0
5,Brandon Mahan,29,7,9,.778,1,2,.500,6,7,.857,0,0,,2,2,4,0,1,0,0,3,20
6,Josh Nebo,25,5,8,.625,5,8,.625,0,0,,4,5,.800,6,4,10,0,1,2,0,1,14
7,Chris Collins,18,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,4,1,0,0,4,3
8,John Walker III,16,1,1,1.000,0,0,,1,1,1.000,0,1,.000,0,2,2,0,0,0,1,0,3
9,Mark French,6,0,0,,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0
