,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Desmond Bane,36,4,11,.364,3,4,.750,1,7,.143,2,2,1.000,1,4,5,3,3,1,1,1,11
1,Alex Robinson,36,2,4,.500,1,2,.500,1,2,.500,0,0,,0,3,3,13,2,0,2,2,5
2,Kevin Samuel,31,7,9,.778,7,9,.778,0,0,,1,2,.500,2,5,7,2,1,2,2,1,15
3,JD Miller,17,3,3,1.000,3,3,1.000,0,0,,5,9,.556,1,3,4,3,0,0,0,3,11
4,RJ Nembhard,9,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,0,2,0,1,0
5,Jaylen Fisher,31,4,8,.500,0,0,,4,8,.500,0,0,,0,2,2,5,1,0,0,1,12
6,Kouat Noi,27,11,15,.733,6,7,.857,5,8,.625,0,0,,0,2,2,4,1,0,1,2,27
7,Yuat Alok,5,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2
8,Kendric Davis,4,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,2,1,4
9,Lat Mayen,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
