,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Terry Winn III,34,5,15,.333,5,15,.333,0,0,,3,6,.500,1,5,6,5,2,0,2,2,13
1,Javon Levi,33,5,7,.714,5,7,.714,0,0,,2,4,.500,0,4,4,6,4,0,3,4,12
2,Greg Bowie II,28,3,11,.273,2,6,.333,1,5,.200,2,2,1.000,1,2,3,2,1,0,5,2,9
3,Lesley Varner II,21,7,8,.875,6,6,1.000,1,2,.500,1,3,.333,0,4,4,1,1,1,0,4,16
4,Solomon Hainna,17,0,3,.000,0,3,.000,0,0,,1,2,.500,3,0,3,1,1,0,0,3,1
5,Johnny Crnogorac,25,2,8,.250,0,4,.000,2,4,.500,0,0,,1,4,5,0,0,2,0,2,6
6,Tyson Smith,21,5,9,.556,1,3,.333,4,6,.667,0,0,,0,2,2,1,0,0,3,4,14
7,Jordan Jackson,16,2,8,.250,1,6,.167,1,2,.500,0,0,,1,1,2,0,0,0,2,3,5
8,Isaiah Fontaine,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0
9,Marlon Williams,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
