,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Keaton Wallace,33,2,14,.143,1,4,.250,1,10,.100,2,2,1.000,3,2,5,5,0,2,4,1,7
1,Giovanni De Nicolao,32,7,13,.538,4,7,.571,3,6,.500,1,4,.250,1,4,5,0,1,0,2,1,18
2,Atem Bior,30,2,4,.500,2,4,.500,0,0,,2,2,1.000,0,7,7,0,1,0,1,2,6
3,Byron Frohnen,28,1,2,.500,1,2,.500,0,0,,1,2,.500,1,3,4,3,1,0,1,0,3
4,Jhivvan Jackson,25,2,15,.133,1,8,.125,1,7,.143,0,0,,1,1,2,0,0,0,2,3,5
5,Adokiye Iyaye,23,1,4,.250,1,3,.333,0,1,.000,1,2,.500,1,0,1,1,2,0,0,0,3
6,Adrian Rodriguez,18,2,4,.500,2,3,.667,0,1,.000,1,2,.500,1,8,9,1,0,1,2,2,5
7,Mitar Stanojevic,5,0,1,.000,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1
8,Toby Van Ry,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
9,Christian Plummer,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
