,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,John Jones,29,4,10,.400,2,4,.500,2,6,.333,0,0,,2,3,5,1,1,0,0,0,10
1,Eden Ewing,27,6,8,.750,6,8,.750,0,0,,5,10,.500,0,3,3,1,2,1,1,2,17
2,Tyrik Armstrong,27,3,7,.429,2,6,.333,1,1,1.000,0,0,,0,2,2,13,3,0,2,0,7
3,Jeremy Combs,21,8,11,.727,8,11,.727,0,0,,2,4,.500,1,4,5,1,1,0,3,3,18
4,Devocio Butler,16,2,3,.667,1,1,1.000,1,2,.500,1,2,.500,0,1,1,1,0,0,0,1,6
5,Trayvon Reed,18,3,6,.500,3,5,.600,0,1,.000,2,2,1.000,0,6,6,1,0,2,0,3,8
6,Derrick Bruce,17,3,3,1.000,1,1,1.000,2,2,1.000,6,6,1.000,0,0,0,2,1,0,2,0,14
7,Jalyn Patterson,16,4,10,.400,0,1,.000,4,9,.444,0,0,,0,3,3,4,0,0,1,1,12
8,Cainan McClelland,10,1,2,.500,0,1,.000,1,1,1.000,0,0,,2,1,3,2,0,0,0,1,3
9,Justin Hopkins,10,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,2,1,3,2,0,0,0,0,2
10,Divonte Lumpkin,5,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0
11,Michael Dobbins,4,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,1,0,2
