,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jarrett Culver,37,11,24,.458,11,18,.611,0,6,.000,4,5,.800,2,8,10,4,5,1,4,0,26
1,Davide Moretti,34,4,9,.444,2,4,.500,2,5,.400,0,0,,0,3,3,0,3,0,3,3,10
2,Tariq Owens,33,3,4,.750,3,4,.750,0,0,,8,8,1.000,2,3,5,1,0,3,1,5,14
3,Matt Mooney,33,3,10,.300,0,5,.000,3,5,.600,4,5,.800,1,1,2,5,1,0,4,4,13
4,Norense Odiase,15,1,2,.500,1,2,.500,0,0,,0,0,,2,0,2,0,2,2,0,3,2
5,Brandone Francis,23,2,4,.500,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,2,3,5
6,Kyler Edwards,15,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2
7,Deshawn Corprew,8,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,1,0,2
8,Malik Ondigo,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Avery Benson,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
