,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Juwan Jones,29,3,11,.273,1,7,.143,2,4,.500,4,4,1.000,2,0,2,1,1,0,8,2,12
1,Dare Brazeal,29,3,4,.750,3,3,1.000,0,1,.000,0,0,,1,6,7,2,0,2,2,4,6
2,Julian Torres,18,3,6,.500,2,4,.500,1,2,.500,3,3,1.000,0,5,5,2,0,0,3,4,10
3,Joe Cook-Green,12,4,6,.667,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,2,0,10
4,Peyton Sallee,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
5,Rob Thomas,33,3,5,.600,2,3,.667,1,2,.500,4,5,.800,1,1,2,9,0,1,3,2,11
6,Sam Lorenzen,30,3,8,.375,0,1,.000,3,7,.429,0,0,,0,0,0,0,0,0,0,0,9
7,Diing Lwal Diing,26,3,6,.500,1,3,.333,2,3,.667,2,2,1.000,3,2,5,0,0,0,2,2,10
8,Sam Smith,9,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3
9,Justin Flakes,8,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
