,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marcus Dixon,23,0,4,.000,0,3,.000,0,1,.000,0,2,.000,1,2,3,0,0,0,1,2,0
1,Chandler Rivers,22,2,9,.222,1,6,.167,1,3,.333,0,0,,1,2,3,3,0,0,2,1,5
2,Brandon Tucker,20,2,4,.500,1,1,1.000,1,3,.333,0,2,.000,1,5,6,0,1,0,3,2,5
3,Nick Baskin Jr.,15,2,7,.286,1,2,.500,1,5,.200,2,3,.667,1,1,2,0,1,0,1,1,7
4,Jykayle Walker,13,0,4,.000,0,2,.000,0,2,.000,3,5,.600,1,4,5,1,0,1,2,5,3
5,Marquis Duncanson,27,3,8,.375,1,4,.250,2,4,.500,0,0,,0,1,1,2,2,0,2,3,8
6,Steven Branch,13,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3
7,Jacari Randolph,13,0,3,.000,0,1,.000,0,2,.000,0,1,.000,0,2,2,0,1,0,1,0,0
8,Ross Freeman,12,0,1,.000,0,0,,0,1,.000,0,0,,1,2,3,1,0,1,0,3,0
9,Patrick Jackson,11,2,6,.333,0,2,.000,2,4,.500,0,0,,0,0,0,0,0,0,1,0,6
10,Rodney Robinson,10,1,1,1.000,0,0,,1,1,1.000,1,2,.500,0,0,0,1,1,0,1,4,4
11,Victor Melendez,9,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
12,Josh Hughes,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3
13,Skyler Snook,5,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
