,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sterling Taplin,31,4,13,.308,1,9,.111,3,4,.750,1,2,.500,1,2,3,7,1,0,2,1,12
1,Curran Scott,28,4,8,.500,2,2,1.000,2,6,.333,0,2,.000,0,2,2,1,0,0,0,2,10
2,Martins Igbanu,28,5,8,.625,5,7,.714,0,1,.000,0,0,,2,5,7,0,1,0,4,1,10
3,Lawson Korita,25,2,5,.400,0,1,.000,2,4,.500,0,1,.000,0,2,2,2,0,0,1,1,6
4,DaQuan Jeffries,24,2,6,.333,1,1,1.000,1,5,.200,6,10,.600,1,5,6,0,2,2,0,3,11
5,Darien Jackson,25,5,10,.500,5,7,.714,0,3,.000,0,2,.000,1,0,1,2,0,0,0,2,10
6,Elijah Joiner,16,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,2,2
7,Jeriah Horne,13,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,3,2,0
8,Peter Hewitt,8,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3
9,Chris Barnes,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
