,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Issac Vann,34,5,9,.556,3,4,.750,2,5,.400,4,4,1.000,1,1,2,4,1,0,1,4,16
1,Marcus Evans,31,7,13,.538,4,5,.800,3,8,.375,3,5,.600,3,1,4,4,1,0,3,3,20
2,De'Riante Jenkins,31,1,6,.167,1,2,.500,0,4,.000,2,2,1.000,1,2,3,1,2,2,1,1,4
3,Sean Mobley,25,3,3,1.000,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,1,0,1,5,2,8
4,Marcus Santos-Silva,19,4,6,.667,4,6,.667,0,0,,0,0,,0,3,3,0,1,0,1,4,8
5,Vince Williams,15,0,2,.000,0,2,.000,0,0,,1,2,.500,2,3,5,1,1,1,0,0,1
6,Corey Douglas,13,1,3,.333,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,1,0,2,3
7,Malik Crowfield,10,0,4,.000,0,0,,0,4,.000,3,4,.750,0,2,2,0,1,0,0,0,3
8,P.J. Byrd,9,0,0,,0,0,,0,0,,3,4,.750,0,0,0,1,0,0,1,3,3
9,Michael Gilmore,8,1,2,.500,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,1,2
10,Mike'l Simms,5,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3
