,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Keith Smith,25,3,4,.750,2,2,1.000,1,2,.500,3,4,.750,0,2,2,2,1,0,1,0,10
1,Bubba Parham,24,4,11,.364,2,4,.500,2,7,.286,12,12,1.000,0,3,3,0,1,0,4,2,22
2,Will Miller,23,2,5,.400,2,3,.667,0,2,.000,1,3,.333,0,0,0,1,0,0,1,3,5
3,Tyler Creammer,20,3,5,.600,3,5,.600,0,0,,4,6,.667,1,6,7,0,0,1,1,4,10
4,Garrett Gilkeson,18,0,2,.000,0,1,.000,0,1,.000,0,0,,1,0,1,2,1,0,4,2,0
5,Sarju Patel,17,3,6,.500,2,4,.500,1,2,.500,0,0,,2,0,2,0,0,0,1,2,7
6,Jordan Ratliffe,17,1,4,.250,1,3,.333,0,1,.000,3,4,.750,0,2,2,2,3,0,4,3,5
7,Austin Vereen,17,0,7,.000,0,3,.000,0,4,.000,3,4,.750,0,2,2,0,0,0,0,1,3
8,Fred Iruafemi,15,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,4,0
9,Myles Lewis,10,1,2,.500,1,2,.500,0,0,,1,2,.500,1,1,2,1,0,0,1,2,3
10,Greg Parham,10,1,4,.250,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,2,2
11,Tragen Fahl,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Ta'Vonne Bond,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
