,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ahmed Hill,33,6,10,.600,3,6,.500,3,4,.750,0,0,,1,2,3,0,0,0,1,1,15
1,Nickeil Alexander-Walker,32,8,17,.471,5,10,.500,3,7,.429,1,1,1.000,0,4,4,7,4,1,0,3,20
2,Justin Robinson,29,8,10,.800,5,6,.833,3,4,.750,0,0,,1,0,1,4,0,0,2,0,19
3,Wabissa Bede,29,3,4,.750,1,2,.500,2,2,1.000,0,0,,0,3,3,3,1,0,0,1,8
4,Kerry Blackshear Jr.,21,6,9,.667,6,7,.857,0,2,.000,0,1,.000,1,2,3,4,0,1,2,3,12
5,Ty Outlaw,22,2,5,.400,0,0,,2,5,.400,0,0,,3,4,7,2,0,0,2,3,6
6,P.J. Horne,16,1,3,.333,1,2,.500,0,1,.000,1,2,.500,2,1,3,0,0,0,1,1,3
7,Isaiah Wilkins,14,2,4,.500,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,2,0,1,5
8,Jonathan Kabongo,3,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0
9,Brendan Palmer,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
