,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Romone Saunders,40,2,14,.143,1,9,.111,1,5,.200,7,9,.778,2,5,7,3,2,0,1,0,12
1,Elijah Davis,36,2,13,.154,2,9,.222,0,4,.000,4,4,1.000,3,7,10,1,0,0,0,1,8
2,AJ Sumbry,33,3,7,.429,3,7,.429,0,0,,1,2,.500,3,5,8,1,0,2,1,1,7
3,Tyrone Nesby IV,19,2,5,.400,0,0,,2,5,.400,0,0,,0,4,4,0,0,0,0,4,6
4,Jonathan Norfleet,14,1,5,.200,0,2,.000,1,3,.333,0,0,,0,3,3,2,0,0,1,3,3
5,Devin Liggeons,26,3,7,.429,3,5,.600,0,2,.000,4,6,.667,3,5,8,2,0,0,0,2,10
6,Chase Freeman,19,0,2,.000,0,0,,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,4,2
7,Nigel Jackson,10,4,8,.500,2,3,.667,2,5,.400,0,0,,1,0,1,0,0,0,1,3,10
8,Chance Anderson,3,0,0,,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,0,0
9,Tyler Plummer,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
