,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaylen Nowell,35,11,15,.733,7,9,.778,4,6,.667,6,8,.750,1,3,4,2,2,0,3,2,32
1,David Crisp,34,3,10,.300,3,7,.429,0,3,.000,3,5,.600,1,3,4,5,0,0,3,1,9
2,Noah Dickerson,28,2,5,.400,2,5,.400,0,0,,7,9,.778,1,4,5,1,4,2,7,3,11
3,Matisse Thybulle,23,0,5,.000,0,1,.000,0,4,.000,2,2,1.000,0,4,4,0,1,2,0,2,2
4,Hameir Wright,16,0,4,.000,0,2,.000,0,2,.000,4,4,1.000,0,2,2,1,0,2,0,5,4
5,Dominic Green,26,4,5,.800,1,1,1.000,3,4,.750,2,2,1.000,0,1,1,2,0,0,0,1,13
6,Nahziah Carter,24,3,5,.600,2,4,.500,1,1,1.000,2,4,.500,2,5,7,1,1,0,1,1,9
7,Sam Timmins,10,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,2
8,Jamal Bey,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0
9,Bryan Penn-Johnson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
