,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tray Wright,29,4,14,.286,4,14,.286,0,0,,4,6,.667,0,4,4,4,1,0,0,0,12
1,Austin Allen,26,3,12,.250,3,12,.250,0,0,,0,0,,1,4,5,0,2,1,1,1,6
2,Logan Bunch,19,0,4,.000,0,4,.000,0,0,,0,2,.000,1,4,5,1,0,0,1,2,0
3,Dallas Marshall,18,1,4,.250,1,3,.333,0,1,.000,0,0,,0,3,3,0,1,0,0,2,2
4,Alec Lewis,15,1,4,.250,1,4,.250,0,0,,1,2,.500,0,1,1,0,0,0,1,5,3
5,Barry McCormick,18,2,7,.286,1,3,.333,1,4,.250,0,0,,0,2,2,0,0,0,0,1,5
6,Rob Goyena III,17,4,10,.400,1,6,.167,3,4,.750,1,2,.500,0,1,1,2,0,0,2,2,12
7,Daniel Brown,15,2,5,.400,2,4,.500,0,1,.000,0,2,.000,3,6,9,0,0,1,1,0,4
8,Derrick Carter,13,3,6,.500,0,1,.000,3,5,.600,0,0,,0,0,0,1,1,0,2,2,9
9,Benjamin Young,13,0,4,.000,0,4,.000,0,0,,0,0,,2,2,4,0,0,0,1,3,0
10,Dilyn Becker,9,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0
11,Nick Schmelzer,8,1,4,.250,0,1,.000,1,3,.333,0,0,,0,0,0,1,0,0,1,0,3
