,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Robert Franks,37,8,17,.471,5,8,.625,3,9,.333,6,6,1.000,3,3,6,4,0,0,3,1,25
1,CJ Elleby,24,3,10,.300,2,7,.286,1,3,.333,0,0,,2,2,4,1,3,0,1,3,7
2,Jeff Pollard,22,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,1,2,0,0,2,2
3,Marvin Cannon,15,1,5,.200,0,1,.000,1,4,.250,0,0,,0,2,2,0,0,0,1,1,3
4,Jervae Robinson,3,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
5,Ahmed Ali,35,6,15,.400,2,3,.667,4,12,.333,2,2,1.000,1,2,3,7,3,0,0,3,18
6,Alja Kunc,29,4,5,.800,2,2,1.000,2,3,.667,4,4,1.000,0,4,4,2,1,1,1,5,14
7,Isaiah Wade,15,3,3,1.000,3,3,1.000,0,0,,0,0,,1,3,4,0,0,0,0,5,6
8,Carter Skaggs,14,2,6,.333,0,0,,2,6,.333,0,0,,1,2,3,2,0,0,0,1,6
9,Viont'e Daniels,6,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,0,0,2,1,3
