,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jevon Carter,31,7,17,.412,5,13,.385,2,4,.500,0,0,,1,2,3,5,5,1,3,3,16
1,Daxter Miles Jr.,28,6,10,.600,6,8,.750,0,2,.000,2,4,.500,0,4,4,4,4,0,1,3,14
2,Lamont West,28,3,9,.333,1,3,.333,2,6,.333,0,0,,3,2,5,0,0,0,2,3,8
3,Sagaba Konate,21,5,9,.556,5,9,.556,0,0,,4,5,.800,3,6,9,1,1,6,0,3,14
4,Wesley Harris,21,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1,5,6,1,0,0,3,1,5
5,James Bolden,25,6,10,.600,2,2,1.000,4,8,.500,1,1,1.000,1,3,4,2,4,0,0,2,17
6,Maciej Bender,14,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,3,2,5,0,0,0,1,2,4
7,Teddy Allen,11,1,5,.200,1,3,.333,0,2,.000,0,0,,0,4,4,0,0,0,2,3,2
8,D'Angelo Hunter,8,0,3,.000,0,2,.000,0,1,.000,1,2,.500,0,0,0,1,0,1,0,2,1
9,Chase Harler,8,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
10,Logan Routt,5,1,1,1.000,1,1,1.000,0,0,,0,0,,2,1,3,0,0,2,1,3,2
