,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kobe Webster,38,6,12,.500,2,6,.333,4,6,.667,0,0,,0,5,5,7,2,0,1,2,16
1,C.J. Duff,36,11,14,.786,3,5,.600,8,9,.889,0,0,,2,2,4,0,1,0,2,2,30
2,Ben Pyle,36,3,8,.375,2,4,.500,1,4,.250,2,2,1.000,2,6,8,9,1,0,2,0,9
3,Brandon Gilbeck,28,4,9,.444,4,9,.444,0,0,,0,0,,2,7,9,1,0,4,3,4,8
4,Isaac Johnson,17,4,8,.500,4,7,.571,0,1,.000,0,0,,1,2,3,1,0,0,0,2,8
5,Zion Young,22,4,5,.800,2,3,.667,2,2,1.000,0,0,,1,3,4,3,0,0,5,2,10
6,James Claar,11,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,1,1,0,1,4
7,Jeremiah Usiosefe,6,0,3,.000,0,1,.000,0,2,.000,0,0,,1,2,3,0,0,0,0,0,0
8,Otis Dortch,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Ryan Maas,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
10,Jordan Hughes,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
11,Jake Weyhrich,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
12,Perion Little,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
