,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Samajae Haynes-Jones,32,5,9,.556,5,7,.714,0,2,.000,2,2,1.000,0,0,0,2,1,0,1,1,12
1,Markis McDuffie,29,8,14,.571,4,7,.571,4,7,.571,5,5,1.000,2,6,8,1,1,0,0,3,25
2,Erik Stevenson,27,4,11,.364,1,4,.250,3,7,.429,2,2,1.000,0,3,3,1,2,0,0,4,13
3,Jamarius Burton,23,4,12,.333,4,10,.400,0,2,.000,1,2,.500,0,3,3,2,2,1,3,4,9
4,Jaime Echenique,18,4,5,.800,4,5,.800,0,0,,1,1,1.000,0,7,7,0,0,1,1,2,9
5,Dexter Dennis,20,1,5,.200,0,2,.000,1,3,.333,0,0,,1,3,4,0,1,0,1,3,3
6,Isaiah Poor Bear-Chandler,18,2,5,.400,2,5,.400,0,0,,0,0,,1,1,2,1,0,1,1,2,4
7,Ricky Torres,18,1,3,.333,1,2,.500,0,1,.000,0,0,,0,2,2,5,1,0,0,0,2
8,Rod Brown,11,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,Asbjorn Midtgaard,4,0,0,,0,0,,0,0,,0,2,.000,1,2,3,0,0,0,1,3,0
