,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Pierce,35,8,15,.533,6,9,.667,2,6,.333,5,7,.714,3,11,14,1,1,1,3,2,23
1,Matt Milon,30,6,9,.667,2,2,1.000,4,7,.571,3,3,1.000,1,3,4,2,0,0,1,2,19
2,Luke Loewe,25,3,5,.600,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,1,1,7
3,Mehkel Harvey,11,1,2,.500,1,2,.500,0,0,,2,4,.500,2,2,4,1,0,2,1,2,4
4,Jihar Williams,11,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,3,3,1,0,1,2,2,1
5,Nathan Knight,28,4,10,.400,4,9,.444,0,1,.000,3,4,.750,2,4,6,4,1,3,3,3,11
6,L.J. Owens,25,5,9,.556,3,4,.750,2,5,.400,2,3,.667,0,1,1,0,0,0,1,2,14
7,Thornton Scott,15,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,3,0,0,2,0,0
8,Chase Audige,15,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,4,0
9,Quinn Blair,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
10,Christian Clark,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
