,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brad Davison,29,8,11,.727,2,2,1.000,6,9,.667,2,2,1.000,1,3,4,5,4,0,1,1,24
1,Ethan Happ,28,7,8,.875,7,8,.875,0,0,,4,5,.800,2,9,11,6,1,0,0,1,18
2,D'Mitrik Trice,23,5,8,.625,1,1,1.000,4,7,.571,0,0,,0,3,3,4,0,0,1,0,14
3,Kobe King,23,4,8,.500,4,5,.800,0,3,.000,2,3,.667,1,2,3,1,0,0,0,0,10
4,Nate Reuvers,19,3,5,.600,2,4,.500,1,1,1.000,0,0,,0,3,3,2,0,0,2,1,7
5,Brevin Pritzl,19,2,5,.400,1,1,1.000,1,4,.250,0,0,,1,4,5,2,0,0,0,1,5
6,Tai Strickland,17,5,7,.714,2,3,.667,3,4,.750,1,2,.500,0,2,2,6,2,0,2,0,14
7,Charles Thomas IV,16,2,6,.333,2,6,.333,0,0,,2,2,1.000,6,2,8,0,1,2,2,1,6
8,Aleem Ford,14,0,3,.000,0,1,.000,0,2,.000,0,0,,1,2,3,1,2,0,1,0,0
9,Walt McGrory,9,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3
10,Michael Ballard,3,0,2,.000,0,0,,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0
