,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Quentin Goodin,37,7,11,.636,4,6,.667,3,5,.600,3,4,.750,0,1,1,3,1,0,1,2,20
1,Naji Marshall,34,2,9,.222,1,4,.250,1,5,.200,3,4,.750,1,5,6,5,1,0,0,4,8
2,Paul Scruggs,33,5,15,.333,5,10,.500,0,5,.000,1,1,1.000,1,5,6,2,3,0,1,5,11
3,Tyrique Jones,15,4,6,.667,4,6,.667,0,0,,0,2,.000,2,3,5,0,1,1,1,4,8
4,Kyle Castlin,11,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,2,1,0,2,2,3
5,Zach Hankins,25,6,8,.750,6,8,.750,0,0,,3,4,.750,4,0,4,0,0,0,1,1,15
6,Keonte Kennedy,16,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
7,Ryan Welage,14,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,2,0,0
8,Elias Harden,11,3,6,.500,0,1,.000,3,5,.600,0,0,,0,0,0,0,0,0,0,1,9
9,Dontarius James,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
