,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Naz Bohannon,36,5,6,.833,4,5,.800,1,1,1.000,4,5,.800,7,4,11,3,2,0,1,3,15
1,Darius Quisenberry,30,3,12,.250,3,5,.600,0,7,.000,2,3,.667,0,4,4,3,1,1,0,2,8
2,Garrett Covington,26,3,10,.300,1,7,.143,2,3,.667,0,0,,3,2,5,2,0,0,1,3,8
3,Jelani Simmons,22,2,7,.286,2,4,.500,0,3,.000,2,2,1.000,1,0,1,1,0,0,0,2,6
4,John Sally Jr.,12,1,2,.500,1,2,.500,0,0,,0,0,,2,2,4,0,0,1,1,1,2
5,Devin Morgan,26,8,16,.500,3,4,.750,5,12,.417,0,0,,1,2,3,3,1,0,3,1,21
6,Michael Akuchie,20,2,6,.333,1,1,1.000,1,5,.200,0,0,,0,6,6,0,0,4,0,1,5
7,Donel Cathcart III,12,2,5,.400,1,3,.333,1,2,.500,0,0,,0,1,1,0,1,0,0,0,5
8,Kendale Hampton,5,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0
9,Olamide Pedersen,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
10,Antwan Maxwell Jr.,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Noe Anabir,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
