Round,School 1 Name,School 2 Name,Winning School,Winning Score,Losing Score
1,duke,north-dakota-state,duke,85,62
1,virginia-commonwealth,central-florida,central-florida,73,58
1,mississippi-state,liberty,liberty,80,76
1,virginia-tech,saint-louis,virginia-tech,66,52
1,maryland,belmont,maryland,79,77
1,louisiana-state,yale,louisiana-state,79,74
1,louisville,minnesota,minnesota,86,76
1,michigan-state,bradley,michigan-state,76,65
2,duke,central-florida,duke,77,76
2,liberty,virginia-tech,virginia-tech,67,58
2,maryland,louisiana-state,maryland,69,67
2,minnesota,michigan-state,michigan-state,70,50
