,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Luguentz Dort,0,FR,G,6-4,215,"Montreal, Canada",Athlete Institute Basketball Academy, 16.1 Pts,4.3 Reb,2.3 Ast
1,Remy Martin,1,SO,G,6-0,170,"Chatsworth, CA",Sierra Canyon School, 13.4 Pts,3.2 Reb,5.1 Ast
2,Zylan Cheatham,45,SR,F,6-8,220,"Phoenix, AZ",South Mountain HS, 11.8 Pts,10.4 Reb,3.3 Ast
3,Rob Edwards,2,JR,G,6-4,200,"Detroit, MI",Cass Tech, 11.3 Pts,3.1 Reb,1.2 Ast
4,Kimani Lawrence,14,SO,F,6-7,210,"Providence, RI",New Hampton School, 8.7 Pts,3.6 Reb,1.2 Ast
5,Romello White,23,SO,F,6-8,235,"Suwanee, GA",IMG Academy, 8.7 Pts,5.3 Reb,0.3 Ast
6,Taeshon Cherry,35,FR,F,6-8,210,"El Cajon, CA",San Diego Charter School, 5.9 Pts,2.6 Reb,0.3 Ast
7,De'Quon Lake,32,SR,F,6-10,225,"St. Thomas, U.S. Virgin Islands",Menchville High School, 4.5 Pts,3.8 Reb,0.1 Ast
8,Elias Valtonen,11,FR,G,6-7,195,"Eura, Finland",Helsinki Basketball Academy, 0.8 Pts,0.4 Reb,0.1 Ast
9,Mickey Mitchell,3,JR,F,6-7,225,"Orlando, FL",Plano West HS, 2.0 Pts,2.7 Reb,1.0 Ast
10,Vitaliy Shibel,10,SO,F,6-9,210,"Ivano-Frankivsk, Ukraine",Lee Academy Prep, 0.4 Pts,0.4 Reb,0.0 Ast
11,Kyle Feit,5,FR,G,6-4,190,"West Palm Beach, FL",IMG Academy, 1.7 Pts,0.7 Reb,0.0 Ast
12,Grant Fogerty,25,JR,G,6-0,175,"Scottsdale, AZ",Desert Mountain High School, 0.4 Pts,0.0 Reb,0.2 Ast
13,Jordan Salzman,24,SO,G,5-10,175,"Locust Valley, NY",Locust Valley High School, 0.4 Pts,0.0 Reb,0.0 Ast
14,Jack Roggin,21,SO,G,6-0,165,"Calabasas, CA",Calabasas HS, 0.0 Pts,0.0 Reb,0.0 Ast
15,Trev Thompson,31,SO,G,6-2,175,"Phoenix, AZ",Moon Valley HS, 0.0 Pts,0.2 Reb,0.0 Ast
16,Uros Plavsic,34,FR,C,7-0,240,"Ivanjica, Serbia",Hamilton Heights Christian Academy,,,
