,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Sam Sessoms,3,FR,G,6-0,188,"Philadelphia, PA",The Shipley School, 17.8 Pts,3.3 Reb,3.5 Ast
1,Caleb Stewart,20,SR,F,6-9,200,"Glenville, NY",Fork Union Military Academy, 11.8 Pts,7.0 Reb,0.8 Ast
2,J.C. Show,33,SR,G,6-3,205,"Clarks Summit, PA",Abington Heights, 11.4 Pts,3.5 Reb,1.1 Ast
3,Chancellor Barnard,2,SR,F,6-4,200,"Columbia, MD",Glenelg Country Day, 7.3 Pts,6.4 Reb,0.7 Ast
4,Everson Davis,22,SR,G,6-3,185,"Basseterre, St. Kitts and Nevis",The Peddie School, 4.6 Pts,2.6 Reb,1.1 Ast
5,Richard Caldwell,0,JR,G,6-4,190,"Philadelphia, PA",, 4.2 Pts,2.2 Reb,0.3 Ast
6,Timmy Rose,4,SR,G,6-1,192,"Scranton, PA",Scranton Prep HS, 3.4 Pts,0.8 Reb,2.1 Ast
7,Calistus Anyichie,14,FR,F,6-9,200,"Short Hills, NJ",, 1.9 Pts,2.1 Reb,0.2 Ast
8,Albert Odero,40,SO,G,6-4,190,"Oneonta, NY",Oneonta High School, 6.0 Pts,2.3 Reb,0.1 Ast
9,Tyler Stewart,5,SO,G,6-8,180,"Silver Spring, MD",St. Andrew's Episcopal School, 5.4 Pts,2.0 Reb,0.0 Ast
10,Calvin Poulina,13,FR,F,6-8,230,"Leiden, Netherlands",, 1.4 Pts,0.7 Reb,0.1 Ast
11,Leo Gallagher,10,FR,G,5-10,150,"Binghamton, NY",, 0.4 Pts,0.0 Reb,0.3 Ast
12,Michael Besselink,24,FR,G,6-6,185,"Helsinki, Finland",,,,
13,Thomas Bruce,32,SR,F,6-9,225,"Washington, DC",Dematha Catholic HS,,,
14,Carter Stewart,21,FR,G,6-6,185,"Glenville, NY",Mekeel Christian Academy,,,
