,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Takal Molson,15,SO,G,6-5,205,"Buffalo, NY",TAAG Academy, 16.9 Pts,5.4 Reb,2.0 Ast
1,Malik Johnson,1,JR,G,5-10,155,"Richmond, VA",Blue Ridge High School, 9.6 Pts,4.2 Reb,4.8 Ast
2,Scott Hitchon,21,SO,F,6-8,215,"Whitby, Canada",Thornlea Secondary School, 8.6 Pts,2.6 Reb,1.5 Ast
3,Jibreel Faulkner,22,SR,F,6-8,200,"Washington, DC",Roosevelt Senior High School, 7.8 Pts,2.8 Reb,0.8 Ast
4,Isaiah Reese,13,JR,G,6-5,185,"Miami, FL",DME Academy, 11.8 Pts,5.9 Reb,4.4 Ast
5,Jonathan Sanks,10,SR,G,6-4,205,"Warner Robins, GA",Berkmar HS, 7.4 Pts,2.4 Reb,1.2 Ast
6,Jalanni White,4,SO,F,6-7,185,"New Haven, CT",Notre Dame High School, 5.9 Pts,2.7 Reb,0.6 Ast
7,Jordan Henderson,3,FR,G,6-4,180,"Cincinnati, OH",Indiana Elite Prep, 3.5 Pts,1.4 Reb,0.8 Ast
8,Dantai St. Louis,23,JR,F,6-8,235,"Brampton, Canada",Orangeville High School, 2.3 Pts,1.7 Reb,0.0 Ast
9,Marcale Lotts,11,SR,F,6-8,230,"New Orleans, LA",Akins High School, 1.3 Pts,1.4 Reb,0.2 Ast
10,Kenjuan Johnson-Alls,55,JR,F,6-6,225,"Atlanta, GA",, 1.7 Pts,2.4 Reb,0.0 Ast
11,Shaquille Evans,25,JR,G,6-5,218,"Nassau, Bahamas",Faith Baptist Christian Academy, 0.0 Pts,0.0 Reb,0.0 Ast
12,Gianni Ford,20,JR,G,6-2,175,"Brooklyn, NY",Boys & Girls HIgh School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Ivan Hadzic,24,FR,C,6-9,240,"Sabac, Serbia",, 0.0 Pts,0.0 Reb,0.0 Ast
14,Sam Rautins,5,FR,G,6-3,185,"Syracuse, NY",Athlete Institute Prep, 0.0 Pts,0.3 Reb,0.0 Ast
