,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Marcquise Reed,2,JR,G,6-3,180,"Landover, MD",Capital Christian, 15.8 Pts,4.6 Reb,3.4 Ast
1,Gabe DeVoe,10,SR,G,6-3,200,"Shelby, NC",Shelby HS, 13.2 Pts,4.7 Reb,2.0 Ast
2,Shelton Mitchell,4,JR,G,6-3,186,"Waxhaw, NC",Oak Hill Academy, 12.0 Pts,2.9 Reb,3.5 Ast
3,Elijah Thomas,14,JR,F,6-9,251,"Dallas, TX",Lancaster HS, 10.8 Pts,7.9 Reb,1.0 Ast
4,Donte Grantham,32,SR,F,6-8,205,"Martinsburg, WV",Hargrave Military Academy, 14.2 Pts,6.9 Reb,2.4 Ast
5,Aamir Simms,25,FR,F,6-7,237,"Palmyra, VA",, 3.9 Pts,3.2 Reb,0.6 Ast
6,Mark Donnal,5,SR,F,6-9,240,"Monclova, OH",Anthony Wayne HS, 3.8 Pts,1.7 Reb,0.3 Ast
7,David Skara,24,,F,6-8,215,Croatia,Ekonomska Skola Zadar, 3.1 Pts,2.6 Reb,0.4 Ast
8,Clyde Trapp,0,FR,G,6-4,192,"Columbia, SC",, 2.0 Pts,0.7 Reb,0.6 Ast
9,Anthony Oliver II,21,FR,G,6-5,180,"Clemson, SC",, 2.1 Pts,1.2 Reb,0.3 Ast
10,Scott Spencer,22,SO,G,6-6,195,"Suffolk, VA",Blue Ridge High School, 1.3 Pts,0.6 Reb,0.3 Ast
11,Malik William,20,FR,F,6-8,226,"Orlando, FL",, 1.4 Pts,1.6 Reb,0.2 Ast
12,Lyles Davis,3,JR,G,5-11,160,"Charleston, SC",James Island Charter HS, 0.0 Pts,0.0 Reb,0.5 Ast
13,Isaac Fields,11,SO,G,6-1,180,"Pewee Valley, KY",South Oldham High School, 0.0 Pts,0.5 Reb,0.0 Ast
