,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jayden Gardner,1,FR,F,6-6,245,"Wake Forest, NC",Heritage HS, 16.3 Pts,8.5 Reb,1.3 Ast
1,Shawn Williams,55,SO,G,6-1,175,"Little Rock, AR",Maumelle High School, 12.8 Pts,1.8 Reb,1.7 Ast
2,Seth LeDay,3,JR,F,6-7,215,"Dallas, TX",, 11.0 Pts,5.8 Reb,1.5 Ast
3,Isaac Fleming,0,SR,G,6-4,195,"Wilmington, DE",Massanutten Military Academy (VA), 9.9 Pts,3.8 Reb,4.0 Ast
4,K.J. Davis,2,SO,G,6-5,200,"Portsmouth, VA",I.C. Norcom High School, 7.6 Pts,4.1 Reb,1.0 Ast
5,Tyler Foster,5,FR,G,6-5,190,"Baltimore, MD",Mount Zion Prep, 4.1 Pts,1.5 Reb,0.9 Ast
6,Dimitri Spasojevic,32,SO,F,6-8,240,"Vrsac, Serbia",Gimnazija Cacak, 3.7 Pts,1.9 Reb,0.7 Ast
7,Tae Hardy,10,FR,G,6-2,190,"Ellenwood, GA",Believe Sports Academy, 2.3 Pts,1.3 Reb,0.7 Ast
8,Deshaun Wade,22,FR,G,6-2,200,"Virginia Beach, VA",The Miller School, 2.0 Pts,1.0 Reb,0.8 Ast
9,Addison Hill,41,SR,G,6-3,180,"Winterville, NC",South Central High Central*, 1.0 Pts,1.2 Reb,0.5 Ast
10,Rico Quinton,23,FR,F,6-9,240,"Newbern, TN",Dyer County HS, 2.6 Pts,2.1 Reb,0.0 Ast
11,Justice Obasohan,52,SR,G,6-5,220,"Wallace, NC",North Carolina School of Science and Math, 0.7 Pts,1.0 Reb,0.2 Ast
12,Justin Whatley,13,SO,F,6-8,240,"Chesapeake, VA",Oscar Smith High School, 2.0 Pts,1.0 Reb,0.8 Ast
13,Samson Strickland,21,FR,F,6-5,210,"Wilson, NC",Washington Academy, 0.7 Pts,0.7 Reb,0.0 Ast
14,John Whitley,24,JR,G,6-0,170,"Washington, NC",Washington High School, 0.2 Pts,0.1 Reb,0.1 Ast
