,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jahaad Proctor,13,JR,G,6-3,215,"Harrisburg, PA",Harrisburg High School, 19.5 Pts,3.8 Reb,3.3 Ast
1,Brandon Kamga,1,JR,G,6-5,215,"Reston, VA",South Lakes HS, 13.8 Pts,5.2 Reb,1.8 Ast
2,Ricky Madison,25,SR,F,6-7,214,"Norcross, GA",Norcross HS, 9.0 Pts,8.5 Reb,1.3 Ast
3,Jordan Whitehead,34,SR,F,6-5,235,"Morris Plains, NJ",Saint Peter's Prep HS, 7.0 Pts,5.7 Reb,1.8 Ast
4,Curtis Holland III,5,FR,G,6-2,217,"Churchton, MD",Southern HS, 7.6 Pts,2.6 Reb,1.2 Ast
5,Jamal Wright,3,JR,G,5-11,180,"Upper Marlboro, MD",Riverdale Baptist School, 4.2 Pts,1.9 Reb,1.3 Ast
6,Caden Sanchez,35,FR,F,6-8,255,"Columbus, OH",St. Francis DeSales HS, 3.3 Pts,2.5 Reb,0.2 Ast
7,Tim Cameron,4,SO,G,6-4,190,"Norcross, GA",Hargrave Military Academy, 4.1 Pts,2.5 Reb,1.3 Ast
8,Denny Slay,2,SO,G,5-11,194,"Woodbridge, VA",St. Stephen's & St. Agnes School, 2.4 Pts,2.1 Reb,1.7 Ast
9,Rob Peterson III,22,FR,F,6-4,182,"Waxham, NC",Hargrave Military Academy, 1.8 Pts,1.7 Reb,0.2 Ast
10,Dexter Gooding,12,SR,G,6-4,195,"Daytona Beach, FL",Spruce Creek HS, 2.7 Pts,1.2 Reb,0.4 Ast
11,Cliff Thomas Jr.,15,JR,F,6-8,235,"Montgomery, AL",Jefferson Davis High School, 9.5 Pts,6.5 Reb,0.5 Ast
12,Sam Berlin,33,SR,C,6-10,256,"Manassas, VA",Ad Fontes Academy, 0.6 Pts,1.3 Reb,0.1 Ast
13,John-Michael Hughes,32,FR,G,6-1,164,"Ligonier, PA",IMG Academy,,,
14,Othello Smith,14,FR,C,6-10,210,"Brooklyn, NY",Lincoln HS,,,
