,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Trevon Allen,25,JR,G,6-2,180,"Lapwai, ID",Calrkston High School, 14.0 Pts,4.2 Reb,3.1 Ast
1,Cameron Tyson,5,FR,G,6-3,185,"Bothell, WA",Bothell HS, 13.5 Pts,1.9 Reb,0.8 Ast
2,Jared Rodriguez,20,FR,F,6-8,180,"Glendale, AZ",Mountain Ridge HS, 11.2 Pts,6.5 Reb,1.0 Ast
3,Scott Blakney,34,SO,F,6-9,225,"Prosser, WA",Prosser High School, 7.5 Pts,4.7 Reb,0.7 Ast
4,Geno West,13,SO,G,6-2,160,"Portland, OR",Jefferson High School, 5.5 Pts,1.6 Reb,1.7 Ast
5,Rayquawndis Mitchell,0,FR,G,6-4,180,"Blaine, MN",Blaine HS, 4.4 Pts,1.8 Reb,1.2 Ast
6,Xavier Smith,11,SO,G,6-4,180,"Seattle, WA",O'Dea High School, 3.5 Pts,1.4 Reb,1.6 Ast
7,Cassius Smits-Francisco,31,FR,F,6-9,230,"Cave Creek, AZ",Cactus Shadows HS, 3.4 Pts,3.8 Reb,0.4 Ast
8,Khadim Samb,24,FR,F,6-6,185,"Marietta, GA",Sprayberry HS, 4.0 Pts,2.4 Reb,0.5 Ast
9,Marquell Fraser,15,JR,G,6-4,200,"Hamilton, Canada",Mountain Mission High School, 9.6 Pts,6.5 Reb,3.1 Ast
10,Chance Garvin,12,SO,G,6-4,180,"Coulee Dam, WA",Lake Roosevelt High School, 1.8 Pts,1.2 Reb,1.2 Ast
11,Losini Kamara,3,FR,G,6-3,180,"Brooklyn Park, MN",Park Center HS, 1.3 Pts,1.9 Reb,1.1 Ast
12,Nate Sherwood,14,SR,PF,6-8,210,"Albany, OR",West Albany HS,,,
