,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Antonio Green,55,JR,G,6-2,190,"Tupelo, MS",Tupelo HS, 17.9 Pts,4.0 Reb,1.6 Ast
1,Reggie Scurry,22,JR,F,6-6,230,"Augusta, GA",North Clayton High School, 11.4 Pts,6.0 Reb,0.8 Ast
2,Donovan Sims,3,SO,G,6-1,165,"Murfreesboro, TN",Blackman High School, 11.9 Pts,4.2 Reb,3.0 Ast
3,Karl Gamble,25,SR,F,6-9,220,"Columbia, SC",A.C. Flora High School, 7.6 Pts,6.3 Reb,0.6 Ast
4,James Hawthorne,4,SR,F,6-7,210,"Prentiss, MS",Prentiss High School, 7.0 Pts,5.3 Reb,1.0 Ast
5,Jayce Johnson,10,FR,G,6-5,205,"Buffalo, NY",Canisius HS, 6.5 Pts,4.9 Reb,2.0 Ast
6,Junior Farquhar,1,FR,G,6-2,200,"Mono, Canada",Orangeville Prep HS, 3.5 Pts,2.3 Reb,1.7 Ast
7,TJ Massenburg,15,FR,F,6-8,225,"Snellville, GA",Shiloh HS, 0.8 Pts,1.2 Reb,0.1 Ast
8,Anthony Crump,0,FR,G,6-8,195,"Inkster, MI",Plymouth HS, 2.2 Pts,2.4 Reb,1.2 Ast
9,Lawrence Mosley,20,SR,G,6-2,200,"Memphis, TN",Craigmont HS, 0.9 Pts,1.4 Reb,0.3 Ast
10,Darnell Butler Jr,24,JR,G,6-4,215,"Lafayette, IN",McCutcheon HS, 2.3 Pts,0.3 Reb,0.0 Ast
11,Chase Miller,14,JR,G,6-0,180,"Dallas, TX",The June Shelton School, 0.2 Pts,0.0 Reb,0.0 Ast
12,DeAndre Dishman,2,JR,F,6-6,220,"Lexington, KY",Bryan Station High School, 2.0 Pts,0.0 Reb,0.0 Ast
13,Kydjana Lewis,13,FR,G,5-11,175,"Frederiksted, U.S. Virgin Islands",Montverde Academy HS, 0.0 Pts,0.1 Reb,0.0 Ast
14,C.J. Jones,23,JR,G,6-5,170,"Birmingham, AL",Central Park Christian High School,,,
