,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Raasean Davis,32,SR,C,6-8,240,"Chicago, IL",Paulding County, 14.6 Pts,8.9 Reb,0.5 Ast
1,Randy Miller Jr.,11,SR,G,6-2,190,"Odenton, MD",Mount Saint Joseph College, 13.2 Pts,2.4 Reb,1.9 Ast
2,Larry McKnight,0,SR,G,6-2,235,"Miami, FL",Miami Norland High School, 9.4 Pts,3.5 Reb,1.0 Ast
3,Zacarry Douglas,1,SR,F,6-8,215,"Landover, MD",Mt. Zion Prep HS, 8.7 Pts,7.8 Reb,1.2 Ast
4,Jibri Blount,2,JR,F,6-5,225,"Pittsburgh, PA",St. Vincent-St. Mary HS, 10.5 Pts,4.5 Reb,1.7 Ast
5,Reggie Gardner Jr,5,SO,G,6-2,175,"Bowie, MD",, 6.0 Pts,1.0 Reb,1.4 Ast
6,Julian Walters,20,SR,G,5-10,175,"Madison, WI",Mt. Zion Prep, 3.6 Pts,2.3 Reb,2.5 Ast
7,Jordan Perkins,4,SO,G,6-0,190,"Greensboro, NC",Greensboro Day School, 3.7 Pts,2.4 Reb,4.1 Ast
8,Rashann London,10,SR,G,6-2,185,"Philadelphia, PA",Roman Catholic HS, 3.6 Pts,1.7 Reb,2.5 Ast
9,Nicolas Fennell,24,FR,G,6-3,150,"Bowie, MD",Archbishop Carroll HS, 2.5 Pts,1.5 Reb,0.6 Ast
10,John Guerra,55,JR,G,6-1,205,"Cary, NC",Cary Academy, 1.5 Pts,0.6 Reb,0.5 Ast
11,Roderick Taylor,3,SR,F,6-7,215,"Killeen, TX",Harker Heights HS, 0.7 Pts,1.2 Reb,0.0 Ast
