,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Scottie Lindsey,20,SR,G,6-5,175,"Hillside, IL",Fenwick HS, 15.2 Pts,3.8 Reb,1.7 Ast
1,Dererk Pardon,5,JR,C,6-8,235,"Cleveland, OH",Villa Angela-St. Joseph HS, 11.3 Pts,7.1 Reb,1.2 Ast
2,Bryant McIntosh,30,SR,G,6-3,177,"Greensburg, IN",Greensburg HS, 11.8 Pts,2.4 Reb,5.1 Ast
3,Vic Law,4,JR,F,6-7,185,"South Holland, IL",St. Rita's HS, 12.0 Pts,5.8 Reb,2.2 Ast
4,Gavin Skelly,44,SR,F,6-8,219,"Westlake, OH",Westlake HS, 6.1 Pts,4.0 Reb,1.0 Ast
5,Aaron Falzon,35,SO,F,6-8,205,"Newton, MA",Northfield Mount Hermon School, 5.5 Pts,1.7 Reb,0.5 Ast
6,Anthony Gaines,11,FR,G,6-4,205,"Kingston, NY",, 4.0 Pts,2.5 Reb,1.2 Ast
7,Isiah Brown,12,SO,G,6-2,175,"Seattle, WA",Lakeside School, 3.9 Pts,0.9 Reb,1.2 Ast
8,Barret Benson,25,SO,C,6-10,240,"Willowbrook, IL",Hinsdale South High School, 1.8 Pts,2.2 Reb,0.4 Ast
9,Jordan Ash,23,JR,G,6-3,185,"Bolingbrook, IL",St. Joseph HS, 2.1 Pts,1.2 Reb,0.7 Ast
10,Charlie Hall,10,JR,F,6-5,205,"Los Angeles, CA",Crossroads School, 0.3 Pts,0.3 Reb,0.0 Ast
11,Rapolas Ivanauskas,14,FR,F,6-9,210,"Barrington, IL",, 0.0 Pts,1.0 Reb,0.0 Ast
12,Tino Malnati,33,FR,G,6-3,175,"Northfield, IL",, 0.0 Pts,0.2 Reb,0.1 Ast
13,A.J. Turner,21,,F,6-7,188,"Mount Clemens, MI",New Hampton School,,,
