,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kaleb Wesson,34,SO,F,6-9,270,"Westerville, OH",Westerville South High School, 14.4 Pts,6.8 Reb,1.8 Ast
1,C.J. Jackson,3,SR,G,6-1,175,"Charlotte, NC",Montverde Academy, 12.2 Pts,4.0 Reb,3.5 Ast
2,Andre Wesson,24,JR,F,6-6,220,"Westerville, OH",Westerville South HIgh School, 8.8 Pts,4.0 Reb,1.7 Ast
3,Luther Muhammad,1,FR,G,6-3,185,"Jersey City, NJ",Hudson Catholic HS, 8.0 Pts,2.8 Reb,1.8 Ast
4,Keyshawn Woods,32,SR,G,6-3,205,"Gastonia, NC",Northside Christian Academy, 7.7 Pts,3.0 Reb,2.4 Ast
5,Duane Washington Jr.,4,FR,G,6-3,190,"Grand Rapids, MI",Sierra Canyon HS, 7.2 Pts,2.5 Reb,1.1 Ast
6,Kyle Young,25,SO,F,6-8,205,"Canton, OH",Jackson High School, 6.4 Pts,4.6 Reb,1.0 Ast
7,Musa Jallow,2,SO,G,6-5,200,"Bloomington, IN",Bloomington High School North, 2.6 Pts,2.6 Reb,0.6 Ast
8,Justin Ahrens,10,FR,F,6-5,180,"Versailles, OH",Versailles HS, 3.3 Pts,1.8 Reb,0.3 Ast
9,Jaedon Ledee,23,FR,F,6-9,230,"Houston, TX",The Kinkaid School, 3.0 Pts,1.7 Reb,0.2 Ast
10,Joey Lane,14,SR,G,6-1,180,"Deerfield, IL",Deerfield HS, 0.8 Pts,0.4 Reb,0.4 Ast
11,Daniel Hummer,40,JR,G,6-0,175,"Upper Arlington, OH",Upper Arlington HIgh School, 0.2 Pts,0.1 Reb,0.1 Ast
12,Harrison Hookfin,42,FR,F,6-5,200,"Lebanon, OH",, 0.0 Pts,1.0 Reb,0.0 Ast
13,CJ Walker,13,JR,G,6-1,195,"Indianapolis, IN",Arsenal Technical High School,,,
