,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Cameron McGriff,12,JR,F,6-7,220,"Grand Prairie, TX",South Grand Prairie High School, 12.4 Pts,7.4 Reb,1.7 Ast
1,Lindy Waters,21,JR,G,6-6,210,"Norman, OK",Norman High School, 12.1 Pts,4.2 Reb,2.8 Ast
2,Thomas Dziagwa,4,JR,G,6-4,180,"Temple Terrace, FL",Tampa Catholic High School, 11.7 Pts,3.1 Reb,1.5 Ast
3,Isaac Likekele,13,FR,G,6-4,210,"Arlington, TX",Timberview HS, 8.7 Pts,4.8 Reb,3.9 Ast
4,Yor Anei,14,FR,F,6-10,225,"Overland Park, KS",Lee's Summit West HS, 7.7 Pts,4.8 Reb,0.7 Ast
5,Curtis Jones,1,JR,G,6-4,185,"Richmond, VA",Huntington Prep, 8.1 Pts,3.0 Reb,1.0 Ast
6,Michael Weathers,23,SO,G,6-2,180,"Roeland Park, KS",Shawnee Mission North HIgh School, 9.2 Pts,2.8 Reb,2.1 Ast
7,Mike Cunningham,55,SR,G,6-1,180,"Lanham, MD",DuVal HS, 8.0 Pts,1.6 Reb,1.1 Ast
8,Maurice Calloo,2,FR,F,6-9,225,"Windsor, Canada",Huntington Prep, 2.5 Pts,1.6 Reb,0.4 Ast
9,Duncan Demuth,5,FR,F,6-8,210,"Seminole, FL",Seminole HS, 0.9 Pts,1.3 Reb,0.2 Ast
10,Luke Major,24,FR,G,6-7,200,"Edmond, OK",, 0.9 Pts,0.3 Reb,0.2 Ast
11,Kentrevious Jones,00,FR,F,6-10,270,"Macon, GA",Quality Education Prep, 1.3 Pts,1.4 Reb,0.1 Ast
12,Dee Mitchell,31,FR,F,6-1,190,"Jefferson, TX",, 1.4 Pts,0.2 Reb,0.2 Ast
13,Tanner Taylor,,FR,G,,,,, 1.5 Pts,0.0 Reb,0.0 Ast
14,JD Hadlock,54,JR,G,6-1,185,"Fairfax, OK",Glencoe HS, 2.0 Pts,1.0 Reb,0.0 Ast
15,Trey Reeves,33,JR,F,6-4,220,"Gans, OK",Muldow High School, 0.0 Pts,0.0 Reb,0.3 Ast
16,Gabe Simpson,44,FR,G,6-2,208,"Jay, OK",, 0.0 Pts,0.5 Reb,0.0 Ast
17,Cade Wagner,40,FR,F,6-6,185,"Highland Park, TX",, 0.0 Pts,0.0 Reb,0.0 Ast
