,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Isaiah Pineiro,0,SR,F,6-7,215,"Auburn, CA",Placer Union High School, 19.1 Pts,9.5 Reb,2.1 Ast
1,Olin Carter III,3,SR,G,6-3,190,"Allen, TX",Allen HS, 14.8 Pts,2.9 Reb,1.6 Ast
2,Isaiah Wright,22,SR,G,6-2,180,"Boise, ID",Borah HS, 13.8 Pts,4.1 Reb,4.7 Ast
3,Tyler Williams,1,SR,G,6-5,190,"Plano, TX",Hebron HS, 8.3 Pts,4.0 Reb,2.9 Ast
4,Yauhen Massalski,25,SO,F,6-10,227,"Minsk, Belarus",Gymnasium No. 15, 6.6 Pts,5.6 Reb,1.0 Ast
5,Alex Floresca,15,JR,F,6-8,240,"St. Louis, MO",Webster HS, 5.4 Pts,3.1 Reb,1.3 Ast
6,Finn Sullivan,23,FR,G,6-4,170,"San Diego, CA",Torrey Pines HS, 4.1 Pts,1.9 Reb,0.5 Ast
7,Joey Calcaterra,2,FR,G,6-3,165,"Novato, CA",, 2.9 Pts,0.9 Reb,0.8 Ast
8,Jose Martinez,13,JR,F,6-10,200,"Cayey, Puerto Rico",Cheshire Academy, 2.2 Pts,1.0 Reb,0.1 Ast
9,Andrew Ferguson,14,FR,C,7-0,230,"Perth, Australia",, 2.6 Pts,1.2 Reb,0.9 Ast
10,Akim-Jamal Joseph,11,FR,C,6-11,245,"Berlin, Germany",, 1.5 Pts,3.3 Reb,1.0 Ast
11,Jake Gilliam,32,SO,C,6-10,255,"San Diego, CA",Torrey Pines High School, 0.6 Pts,0.8 Reb,0.0 Ast
12,Emanuel Hylton,5,FR,G,6-3,200,"Washington, DC",, 1.0 Pts,0.5 Reb,0.0 Ast
13,Devin Moss,20,SR,G,6-3,190,"Roseville, CA",, 0.0 Pts,0.4 Reb,0.2 Ast
14,Andy Nelson,10,JR,G,6-1,180,"Lafayette, CO",Holy Family, 0.0 Pts,0.0 Reb,0.0 Ast
15,Mitch Schafer,4,SR,G,5-10,170,"Portland, OR",Jesuit HIgh School, 0.0 Pts,0.0 Reb,0.3 Ast
16,Simon Stringer,31,SO,G,6-4,185,"Portland, OR",, 0.0 Pts,0.2 Reb,0.0 Ast
17,Braun Hartfield,21,JR,G,6-6,185,"Cleveland, OH",Garfield Heights High School,,,
