,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Billy Wampler,1,JR,F,6-6,220,"Eau Claire, WI",Regis HS, 14.9 Pts,3.4 Reb,1.2 Ast
1,Loudon Love,11,SO,C,6-9,280,"Geneva, IL",Geneva High School, 15.1 Pts,8.2 Reb,1.0 Ast
2,Cole Gentry,31,JR,G,5-10,180,"St. Charles, IL",St. Charles East HS, 11.7 Pts,2.3 Reb,3.2 Ast
3,Mark Hughes,3,SR,G,6-4,205,"Youngstown, OH",Ursuline, 9.2 Pts,4.2 Reb,2.9 Ast
4,Skyelar Potter,5,FR,G,6-3,200,"Bowling Green, KY",Central HS, 5.7 Pts,3.8 Reb,0.6 Ast
5,Malachi Smith,13,FR,G,6-3,195,"Belleville, IL",West HS, 5.5 Pts,2.9 Reb,1.7 Ast
6,Parker Ernsthausen,22,SR,C,6-11,240,"Bowling Green, OH","St. John's (Toledo, OH)", 5.1 Pts,3.2 Reb,2.3 Ast
7,Alan Vest,4,SR,G,6-3,195,"Kettering, OH",Chaminade-Julienne High School, 5.1 Pts,4.0 Reb,0.9 Ast
8,James Manns,23,FR,F,6-7,210,"Columbus, OH",Walnut Ridge HS, 2.1 Pts,0.3 Reb,0.1 Ast
9,Andy Neff,20,FR,F,6-7,210,"Oakwood, OH",Oakwood HS, 0.8 Pts,0.4 Reb,0.0 Ast
10,Adam Giles,10,SR,F,6-3,205,"Miamisburg, OH",Miamisburg High School, 0.4 Pts,0.3 Reb,0.1 Ast
11,Grant Basile,21,FR,F,6-8,215,"Pewaukee, WI",Pewaukee HS, 1.3 Pts,1.0 Reb,0.0 Ast
12,Jaylon Hall,0,SO,G,6-5,190,"Houston, TX",Doss High School, 2.0 Pts,2.0 Reb,2.0 Ast
13,Ryan Custer,33,JR,F,6-7,235,"Cincinnati, OH",Elder High School,,,
14,Jack Hendricks,15,FR,G,5-11,170,"Kettering, OH",Fairmont HS,,,
