,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Justin James,1,SR,G,6-7,190,"Port Saint Lucie, FL",Oldsmar Christian HS, 22.1 Pts,8.5 Reb,4.4 Ast
1,Jake Hendricks,0,JR,G,6-5,170,"Smithfield, UT",, 10.8 Pts,2.9 Reb,1.0 Ast
2,Hunter Thompson,10,FR,F,6-10,235,"Pine Bluffs, WY",Pine Bluffs HS, 8.8 Pts,2.9 Reb,0.8 Ast
3,Trevon Taylor,13,FR,G,6-6,197,"Chesapeake, VA",Hillcrest Prep, 6.4 Pts,3.1 Reb,0.7 Ast
4,A.J. Banks,2,JR,G,6-2,163,"Las Vegas, NV",, 5.2 Pts,2.9 Reb,1.5 Ast
5,Trace Young,11,FR,F,6-9,179,"Owensboro, KY",Mt. Zion Prep, 6.8 Pts,3.4 Reb,0.8 Ast
6,Hunter Maldonado,24,SO,G,6-7,200,"Colorado Springs, CO",Vista Ridge High School, 13.8 Pts,6.8 Reb,2.3 Ast
7,Jordan Naughton,33,SR,F,6-10,234,"Rancho Cucamonga, CA",Etiwanda HS, 4.5 Pts,2.0 Reb,0.4 Ast
8,Brandon Porter,22,FR,F,6-8,193,"Virginia Beach, VA",Washington Academy, 2.5 Pts,1.1 Reb,0.2 Ast
9,Ny Redding,3,SR,G,6-2,172,"Cleveland, OH",Westwind Prep (AZ), 6.3 Pts,2.2 Reb,1.9 Ast
10,Austin Mueller,14,SO,F,6-6,210,"Highlands Ranch, CO",ThunderRidge High School, 3.9 Pts,3.6 Reb,0.6 Ast
11,Haize Fornstrom,55,FR,G,6-4,185,"Pine Bluffs, WY",, 1.3 Pts,0.7 Reb,0.2 Ast
12,Tariq Johnson,5,FR,G,6-5,206,"College Park, MD",Mt. Zion Prep, 1.3 Pts,0.5 Reb,0.0 Ast
13,Lwal Dung,34,JR,F,6-7,178,"Adelaide, Australia",, 1.8 Pts,1.3 Reb,0.3 Ast
14,KC Henry,40,SO,G,6-0,195,"Lingle, WY",, 0.0 Pts,0.3 Reb,0.0 Ast
15,Bradley Belt,12,FR,G,6-4,199,"Huntsville, AL",Washington Academy,,,
