,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",9:00p,REG,,South Alabama,Sun Belt,W,101,58,,1,0,W 1,Auburn Arena
1,2,"Fri, Nov 9, 2018",9:30p,REG,,Washington (25),Pac-12,W,88,66,,2,0,W 2,Auburn Arena
2,3,"Wed, Nov 14, 2018",8:00p,REG,,Mississippi College,,W,103,52,,3,0,W 3,Auburn Arena
3,4,"Mon, Nov 19, 2018",2:30p,REG,N,Xavier,Big East,W,88,79,OT,4,0,W 4,Lahaina Civic Center
4,5,"Tue, Nov 20, 2018",8:00p,REG,N,Duke (1),ACC,L,72,78,,4,1,L 1,Lahaina Civic Center
5,6,"Wed, Nov 21, 2018",11:30p,REG,N,Arizona,Pac-12,W,73,57,,5,1,W 1,Lahaina Civic Center
6,7,"Wed, Nov 28, 2018",8:00p,REG,,Saint Peter's,MAAC,W,99,49,,6,1,W 2,Auburn Arena
7,8,"Tue, Dec 4, 2018",8:00p,REG,,North Carolina-Asheville,Big South,W,67,41,,7,1,W 3,Auburn Arena
8,9,"Sat, Dec 8, 2018",8:30p,REG,,Dayton,A-10,W,82,72,,8,1,W 4,Auburn Arena
9,10,"Sat, Dec 15, 2018",7:30p,REG,N,Alabama-Birmingham,CUSA,W,75,71,OT,9,1,W 5,Legacy Arena
10,11,"Wed, Dec 19, 2018",7:00p,REG,@,North Carolina State,ACC,L,71,78,,9,2,L 1,PNC Arena
11,12,"Sat, Dec 22, 2018",4:30p,REG,,Murray State,OVC,W,93,88,,10,2,W 1,Auburn Arena
12,13,"Sat, Dec 29, 2018",5:00p,REG,,North Florida,A-Sun,W,95,49,,11,2,W 2,Auburn Arena
13,14,"Wed, Jan 9, 2019",7:00p,REG,@,Mississippi,SEC,L,67,82,,11,3,L 1,The Pavilion at Ole Miss
14,15,"Sat, Jan 12, 2019",4:00p,REG,,Georgia,SEC,W,93,78,,12,3,W 1,Auburn Arena
15,16,"Wed, Jan 16, 2019",7:00p,REG,@,Texas A&M,SEC,W,85,66,,13,3,W 2,Reed Arena
16,17,"Sat, Jan 19, 2019",4:00p,REG,,Kentucky (12),SEC,L,80,82,,13,4,L 1,Auburn Arena
17,18,"Tue, Jan 22, 2019",6:30p,REG,@,South Carolina,SEC,L,77,80,,13,5,L 2,The Colonial Life Arena
18,19,"Sat, Jan 26, 2019",8:30p,REG,@,Mississippi State (22),SEC,L,84,92,,13,6,L 3,Humphrey Coliseum
19,20,"Wed, Jan 30, 2019",8:30p,REG,,Missouri,SEC,W,92,58,,14,6,W 1,Auburn Arena
20,21,"Sat, Feb 2, 2019",8:00p,REG,,Alabama,SEC,W,84,63,,15,6,W 2,Auburn Arena
21,22,"Tue, Feb 5, 2019",9:00p,REG,,Florida,SEC,W,76,62,,16,6,W 3,Auburn Arena
22,23,"Sat, Feb 9, 2019",2:00p,REG,@,Louisiana State (21),SEC,L,78,83,,16,7,L 1,Maravich Assembly Center
23,24,"Wed, Feb 13, 2019",8:30p,REG,,Mississippi,SEC,L,55,60,,16,8,L 2,Auburn Arena
24,25,"Sat, Feb 16, 2019",12:00p,REG,@,Vanderbilt,SEC,W,64,53,,17,8,W 1,Memorial Gymnasium
25,26,"Wed, Feb 20, 2019",8:30p,REG,,Arkansas,SEC,W,79,56,,18,8,W 2,Auburn Arena
26,27,"Sat, Feb 23, 2019",1:30p,REG,@,Kentucky (4),SEC,L,53,80,,18,9,L 1,Rupp Arena
27,28,"Wed, Feb 27, 2019",9:00p,REG,@,Georgia,SEC,W,78,75,,19,9,W 1,Stegeman Coliseum
28,29,"Sat, Mar 2, 2019",4:00p,REG,,Mississippi State,SEC,W,80,75,,20,9,W 2,Auburn Arena
29,30,"Tue, Mar 5, 2019",9:00p,REG,@,Alabama,SEC,W,66,60,,21,9,W 3,Coleman Coliseum 
30,31,"Sat, Mar 9, 2019",12:00p,REG,,Tennessee (5),SEC,W,84,80,,22,9,W 4,Auburn Arena
31,32,"Thu, Mar 14, 2019",3:00p,CTOURN,N,Missouri,SEC,W,81,71,,23,9,W 5,Bridgestone Arena
32,33,"Fri, Mar 15, 2019",3:30p,CTOURN,N,South Carolina,SEC,W,73,64,,24,9,W 6,Bridgestone Arena
33,34,"Sat, Mar 16, 2019",1:00p,CTOURN,N,Florida,SEC,W,65,62,,25,9,W 7,Bridgestone Arena
34,35,"Sun, Mar 17, 2019",1:00p,CTOURN,N,Tennessee (8),SEC,W,84,64,,26,9,W 8,Bridgestone Arena
35,36,"Thu, Mar 21, 2019",1:30p,NCAA,N,New Mexico State,WAC,,,,,,,,
