,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 13, 2018",7:00p,REG,@,Bucknell,Patriot,W,82,73,,1,0,W 1,Sojka Pavilion
1,2,"Sat, Nov 17, 2018",3:30p,REG,,Albany (NY),AEC,L,66,75,,1,1,L 1,Koessler Athletic Center
2,3,"Mon, Nov 19, 2018",7:00p,REG,@,Florida State (14),ACC,L,61,93,,1,2,L 2,Donald L. Tucker Center
3,4,"Thu, Nov 22, 2018",1:30p,REG,N,Villanova,Big East,L,56,83,,1,3,L 3,HP Field House
4,5,"Fri, Nov 23, 2018",1:30p,REG,N,Memphis,AAC,L,63,71,,1,4,L 4,HP Field House
5,6,"Sun, Nov 25, 2018",10:30a,REG,N,Alabama-Birmingham,CUSA,L,58,68,,1,5,L 5,HP Field House
6,7,"Wed, Nov 28, 2018",7:00p,REG,@,St. Bonaventure,A-10,L,55,70,,1,6,L 6,Reilly Center
7,8,"Wed, Dec 5, 2018",7:00p,REG,,Robert Morris,NEC,W,68,62,,2,6,W 1,Koessler Athletic Center
8,9,"Sun, Dec 16, 2018",2:00p,REG,@,Elon,CAA,W,92,91,,3,6,W 2,Schar Center
9,10,"Thu, Dec 20, 2018",2:00p,REG,@,Holy Cross,Patriot,L,63,65,,3,7,L 1,Hart Recreation Center
10,11,"Sat, Dec 29, 2018",7:00p,REG,,Buffalo (21),MAC,L,72,87,,3,8,L 2,Koessler Athletic Center
11,12,"Thu, Jan 3, 2019",7:00p,REG,@,Marist,MAAC,W,75,72,,4,8,W 1,McCann Recreation Center
12,13,"Sat, Jan 5, 2019",7:00p,REG,@,Siena,MAAC,W,70,66,,5,8,W 2,Times Union Center 
13,14,"Tue, Jan 8, 2019",7:00p,REG,,Brown,Ivy,L,90,97,OT,5,9,L 1,Koessler Athletic Center
14,15,"Fri, Jan 11, 2019",7:00p,REG,,Rider,MAAC,L,73,82,,5,10,L 2,Koessler Athletic Center
15,16,"Sun, Jan 13, 2019",2:00p,REG,,Iona,MAAC,L,70,88,,5,11,L 3,Koessler Athletic Center
16,17,"Thu, Jan 17, 2019",7:00p,REG,@,Quinnipiac,MAAC,W,65,63,,6,11,W 1,TD Bank Sports Center
17,18,"Sat, Jan 19, 2019",1:00p,REG,@,Fairfield,MAAC,W,73,68,,7,11,W 2,George Bisacca Court at Alumni Hall
18,19,"Thu, Jan 24, 2019",7:00p,REG,,Monmouth,MAAC,W,80,66,,8,11,W 3,Koessler Athletic Center
19,20,"Wed, Jan 30, 2019",7:00p,REG,@,Niagara,MAAC,L,70,78,,8,12,L 1,Gallagher Center
20,21,"Fri, Feb 1, 2019",7:00p,REG,,Quinnipiac,MAAC,W,75,70,,9,12,W 1,Koessler Athletic Center
21,22,"Mon, Feb 4, 2019",7:00p,REG,,Marist,MAAC,L,71,78,OT,9,13,L 1,Koessler Athletic Center
22,23,"Fri, Feb 8, 2019",7:00p,REG,@,Rider,MAAC,W,81,80,,10,13,W 1,Alumni Gymnasium
23,24,"Sun, Feb 10, 2019",1:00p,REG,@,Saint Peter's,MAAC,W,64,60,,11,13,W 2,Yanitelli Center
24,25,"Fri, Feb 15, 2019",7:00p,REG,,Fairfield,MAAC,W,72,68,,12,13,W 3,Koessler Athletic Center
25,26,"Sun, Feb 17, 2019",2:00p,REG,,Manhattan,MAAC,L,65,70,,12,14,L 1,Koessler Athletic Center
26,27,"Fri, Feb 22, 2019",7:00p,REG,@,Monmouth,MAAC,W,60,59,,13,14,W 1,Multipurpose Activity Center
27,28,"Sun, Feb 24, 2019",1:00p,REG,@,Iona,MAAC,L,80,87,,13,15,L 1,Hynes Athletics Center
28,29,"Wed, Feb 27, 2019",7:30p,REG,,Niagara,MAAC,L,84,86,,13,16,L 2,Koessler Athletic Center
29,30,"Fri, Mar 1, 2019",9:00p,REG,,Siena,MAAC,W,68,62,,14,16,W 1,Koessler Athletic Center
30,31,"Fri, Mar 8, 2019",9:30p,CTOURN,N,Manhattan,MAAC,W,69,65,OT,15,16,W 2,Times Union Center 
31,32,"Sun, Mar 10, 2019",8:30p,CTOURN,N,Monmouth,MAAC,L,59,73,,15,17,L 1,Times Union Center 
