,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",8:30p,REG,@,Monmouth,MAAC,W,85,61,,1,0,W 1,Multipurpose Activity Center
1,2,"Fri, Nov 9, 2018",7:00p,REG,@,Miami (FL),ACC,L,62,83,,1,1,L 1,BankUnited Center
2,3,"Tue, Nov 13, 2018",7:00p,REG,,Marist,MAAC,W,78,72,,2,1,W 1,Stabler Arena
3,4,"Fri, Nov 16, 2018",8:30p,REG,,Princeton,Ivy,W,72,57,,3,1,W 2,Stabler Arena
4,5,"Wed, Nov 21, 2018",6:00p,REG,@,Siena,MAAC,W,80,69,,4,1,W 3,Times Union Center 
5,6,"Sat, Nov 24, 2018",4:30p,REG,@,Kansas State (12),Big 12,L,58,77,,4,2,L 1,Bramlage Coliseum
6,7,"Sat, Dec 1, 2018",2:00p,REG,,Arkansas State,Sun Belt,W,82,70,,5,2,W 1,Stabler Arena
7,8,"Wed, Dec 5, 2018",7:00p,REG,@,Yale,Ivy,L,87,97,,5,3,L 1,John J. Lee Ampitheater
8,9,"Sat, Dec 8, 2018",4:00p,REG,@,Mount St. Mary's,NEC,W,85,78,,6,3,W 1,Knott Arena
9,10,"Sat, Dec 22, 2018",12:00p,REG,,Saint Francis (PA),NEC,W,88,76,,7,3,W 2,Stabler Arena
10,11,"Sun, Dec 30, 2018",2:00p,REG,@,West Virginia,Big 12,L,68,78,,7,4,L 1,WVU Coliseum
11,12,"Wed, Jan 2, 2019",7:00p,REG,,Lafayette,Patriot,W,86,83,,8,4,W 1,Stabler Arena
12,13,"Sun, Jan 6, 2019",2:00p,REG,,Loyola (MD),Patriot,W,89,72,,9,4,W 2,Stabler Arena
13,14,"Wed, Jan 9, 2019",7:05p,REG,@,Holy Cross,Patriot,W,99,94,OT,10,4,W 3,Hart Recreation Center
14,15,"Sat, Jan 12, 2019",4:00p,REG,@,Colgate,Patriot,L,78,91,,10,5,L 1,Cotterell Court
15,16,"Wed, Jan 16, 2019",7:00p,REG,,American,Patriot,W,83,76,,11,5,W 1,Stabler Arena
16,17,"Sat, Jan 19, 2019",12:00p,REG,,Bucknell,Patriot,L,83,85,,11,6,L 1,Stabler Arena
17,18,"Wed, Jan 23, 2019",7:00p,REG,@,Navy,Patriot,W,85,74,,12,6,W 1,Alumni Hall
18,19,"Sat, Jan 26, 2019",2:00p,REG,,Boston University,Patriot,W,94,78,,13,6,W 2,Stabler Arena
19,20,"Wed, Jan 30, 2019",8:30p,REG,@,Lafayette,Patriot,W,93,86,OT,14,6,W 3,Kirby Sports Center
20,21,"Sat, Feb 2, 2019",1:00p,REG,@,Army,Patriot,W,75,70,,15,6,W 4,Christl Arena
21,22,"Mon, Feb 4, 2019",7:00p,REG,,Colgate,Patriot,L,62,84,,15,7,L 1,Stabler Arena
22,23,"Sat, Feb 9, 2019",4:30p,REG,,Navy,Patriot,W,83,57,,16,7,W 1,Stabler Arena
23,24,"Mon, Feb 11, 2019",7:00p,REG,@,Bucknell,Patriot,L,75,87,,16,8,L 1,Sojka Pavilion
24,25,"Sat, Feb 16, 2019",4:30p,REG,@,Boston University,Patriot,W,84,79,,17,8,W 1,Case Gym
25,26,"Wed, Feb 20, 2019",7:00p,REG,,Army,Patriot,W,91,81,,18,8,W 2,Stabler Arena
26,27,"Sun, Feb 24, 2019",12:00p,REG,,Holy Cross,Patriot,L,71,73,,18,9,L 1,Stabler Arena
27,28,"Wed, Feb 27, 2019",7:00p,REG,@,American,Patriot,W,80,66,,19,9,W 1,Bender Arena
28,29,"Sat, Mar 2, 2019",7:00p,REG,@,Loyola (MD),Patriot,L,73,92,,19,10,L 1,Reitz Arena
29,30,"Thu, Mar 7, 2019",7:00p,CTOURN,,Army,Patriot,W,75,70,,20,10,W 1,Stabler Arena
30,31,"Sun, Mar 10, 2019",2:00p,CTOURN,@,Bucknell,Patriot,L,75,97,,20,11,L 1,Sojka Pavilion
