,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",7:30p,REG,,North Carolina-Greensboro,Southern,L,66,74,,0,1,L 1,Ellis Corbett Sports Center
1,2,"Sat, Nov 10, 2018",2:00p,REG,@,Wake Forest,ACC,L,78,90,,0,2,L 2,Lawrence Joel Coliseum
2,3,"Mon, Nov 12, 2018",7:00p,REG,@,Maryland,Big Ten,L,59,82,,0,3,L 3,Xfinity Center
3,4,"Wed, Nov 14, 2018",7:00p,REG,@,Hofstra,CAA,L,72,92,,0,4,L 4,Mack Sports Complex
4,5,"Mon, Nov 19, 2018",7:00p,REG,@,Marshall,CUSA,L,71,95,,0,5,L 5,Henderson Center
5,6,"Wed, Nov 21, 2018",5:00p,REG,@,Mount St. Mary's,NEC,W,74,60,,1,5,W 1,Knott Arena
6,7,"Thu, Nov 29, 2018",7:30p,REG,,Central Connecticut State,NEC,W,72,60,,2,5,W 2,Ellis Corbett Sports Center
7,8,"Sat, Dec 1, 2018",4:00p,REG,,Presbyterian,Big South,L,70,75,,2,6,L 1,Ellis Corbett Sports Center
8,9,"Sat, Dec 8, 2018",4:00p,REG,,Greensboro,,W,92,67,,3,6,W 1,Ellis Corbett Sports Center
9,10,"Sat, Dec 15, 2018",5:00p,REG,@,Tennessee State,OVC,W,78,76,,4,6,W 2,Gentry Center Complex
10,11,"Wed, Dec 19, 2018",7:00p,REG,@,Virginia Tech (13),ACC,L,60,82,,4,7,L 1,Cassell Coliseum
11,12,"Fri, Dec 21, 2018",8:00p,REG,@,Minnesota,Big Ten,L,67,86,,4,8,L 2,Williams Arena
12,13,"Fri, Dec 28, 2018",7:00p,REG,@,East Carolina,AAC,L,57,77,,4,9,L 3,Williams Arena at Minges Coliseum
13,14,"Sat, Jan 5, 2019",4:00p,REG,@,South Carolina State,MEAC,W,80,77,OT,5,9,W 1,SHM Memorial Center
14,15,"Tue, Jan 8, 2019",7:30p,REG,,Mid-Atlantic Christian,,W,104,56,,6,9,W 2,Ellis Corbett Sports Center
15,16,"Sat, Jan 12, 2019",4:00p,REG,@,Delaware State,MEAC,W,93,70,,7,9,W 3,Memorial Hall
16,17,"Mon, Jan 14, 2019",7:30p,REG,@,Maryland-Eastern Shore,MEAC,W,67,58,,8,9,W 4,Hytche Athletic Center
17,18,"Sat, Jan 19, 2019",4:00p,REG,,Morgan State,MEAC,W,57,53,,9,9,W 5,Ellis Corbett Sports Center
18,19,"Mon, Jan 21, 2019",7:30p,REG,,Coppin State,MEAC,W,80,71,,10,9,W 6,Ellis Corbett Sports Center
19,20,"Sat, Jan 26, 2019",4:00p,REG,@,North Carolina Central,MEAC,W,51,48,,11,9,W 7,McLendon-McDougald Gym
20,21,"Sat, Feb 2, 2019",4:00p,REG,@,Florida A&M,MEAC,L,39,63,,11,10,L 1,Al Lawson Center
21,22,"Mon, Feb 4, 2019",7:30p,REG,@,Bethune-Cookman,MEAC,L,53,69,,11,11,L 2,Moore Gymnasium
22,23,"Sat, Feb 9, 2019",4:00p,REG,,Delaware State,MEAC,W,82,52,,12,11,W 1,Ellis Corbett Sports Center
23,24,"Mon, Feb 11, 2019",7:30p,REG,,Maryland-Eastern Shore,MEAC,W,68,61,,13,11,W 2,Ellis Corbett Sports Center
24,25,"Sat, Feb 16, 2019",4:00p,REG,@,Howard,MEAC,W,85,81,,14,11,W 3,Burr Gymnasium
25,26,"Mon, Feb 18, 2019",8:00p,REG,@,Norfolk State,MEAC,L,58,76,,14,12,L 1,Echols Memorial Hall
26,27,"Sat, Feb 23, 2019",4:00p,REG,,South Carolina State,MEAC,W,63,62,,15,12,W 1,Ellis Corbett Sports Center
27,28,"Mon, Feb 25, 2019",7:30p,REG,,Savannah State,MEAC,W,63,58,,16,12,W 2,Ellis Corbett Sports Center
28,29,"Sat, Mar 2, 2019",4:00p,REG,,Florida A&M,MEAC,W,63,42,,17,12,W 3,Ellis Corbett Sports Center
29,30,"Thu, Mar 7, 2019",7:30p,REG,,North Carolina Central,MEAC,W,74,52,,18,12,W 4,Ellis Corbett Sports Center
30,31,"Wed, Mar 13, 2019",8:00p,CTOURN,N,Coppin State,MEAC,W,82,79,OT,19,12,W 5,Norfolk Scope
31,32,"Fri, Mar 15, 2019",8:00p,CTOURN,N,North Carolina Central,MEAC,L,63,65,,19,13,L 1,Norfolk Scope
