,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Tue, Nov 6, 2018",9:30p,REG,@,New Mexico State,WAC,L,56,73,,0,1,L 1,Pan American Center
1,2,"Sun, Nov 11, 2018",2:00p,REG,,UC-Santa Barbara,Big West,W,82,63,,1,1,W 1,Scheels Center
2,3,"Fri, Nov 16, 2018",2:00p,REG,N,Miami (OH),MAC,L,78,89,,1,2,L 1,Kendal Isaacs Gymnasium
3,4,"Sat, Nov 17, 2018",11:00a,REG,N,Incarnate Word,Southland,L,78,80,OT,1,3,L 2,Kendal Isaacs Gymnasium
4,5,"Sun, Nov 18, 2018",11:00a,REG,N,Towson,CAA,W,76,51,,2,3,W 1,Kendal Isaacs Gymnasium
5,6,"Sat, Nov 24, 2018",4:00p,REG,@,East Tennessee State,Southern,L,61,79,,2,4,L 1,Freedom Hall Civic Center
6,7,"Mon, Nov 26, 2018",9:00p,REG,@,Gonzaga (1),WCC,L,60,102,,2,5,L 2,McCarthey Athletic Center
7,8,"Sat, Dec 1, 2018",6:30p,REG,N,Drake,MVC,L,88,95,,2,6,L 3,
8,9,"Mon, Dec 3, 2018",8:00p,REG,@,Iowa State,Big 12,L,59,81,,2,7,L 4,James H. Hilton Coliseum 
9,10,"Sat, Dec 8, 2018",8:00p,REG,,Eastern Washington,Big Sky,W,74,67,,3,7,W 1,Scheels Center
10,11,"Sat, Dec 15, 2018",8:30p,REG,,Missouri State,MVC,W,74,67,,4,7,W 2,Scheels Center
11,12,"Mon, Dec 17, 2018",9:00p,REG,@,Montana,Big Sky,L,53,60,,4,8,L 1,Adams Center/Dahlberg Arena
12,13,"Wed, Dec 19, 2018",8:00p,REG,,Northland,,W,90,43,,5,8,W 1,Scheels Center
13,14,"Sat, Dec 29, 2018",1:00p,REG,,South Dakota,Summit,W,71,65,,6,8,W 2,Scheels Center
14,15,"Sun, Dec 30, 2018",5:00p,REG,,Purdue-Fort Wayne,Summit,L,87,90,OT,6,9,L 1,Scheels Center
15,16,"Wed, Jan 2, 2019",8:00p,REG,@,Omaha,Summit,L,77,90,,6,10,L 2,Baxter Arena
16,17,"Sun, Jan 6, 2019",3:00p,REG,,Dickinson State (ND),,W,85,53,,7,10,W 1,Scheels Center
17,18,"Thu, Jan 10, 2019",8:00p,REG,,Western Illinois,Summit,W,85,69,,8,10,W 2,Betty Engelstad Sioux Center 
18,19,"Wed, Jan 16, 2019",9:00p,REG,@,Denver,Summit,L,65,80,,8,11,L 1,Magness Arena
19,20,"Sat, Jan 19, 2019",3:00p,REG,,North Dakota,Summit,W,67,65,,9,11,W 1,Scheels Center
20,21,"Thu, Jan 24, 2019",8:00p,REG,@,South Dakota State,Summit,L,69,87,,9,12,L 1,Frost Arena
21,22,"Sat, Jan 26, 2019",8:00p,REG,@,Oral Roberts,Summit,W,67,57,,10,12,W 1,Mabee Center
22,23,"Sat, Feb 2, 2019",8:00p,REG,@,Western Illinois,Summit,W,78,76,,11,12,W 2,Western Hall
23,24,"Wed, Feb 6, 2019",8:00p,REG,@,North Dakota,Summit,W,74,70,,12,12,W 3,Betty Engelstad Sioux Center 
24,25,"Sat, Feb 9, 2019",5:00p,REG,,Denver,Summit,W,81,71,,13,12,W 4,Scheels Center
25,26,"Thu, Feb 14, 2019",8:00p,REG,,Oral Roberts,Summit,W,85,73,,14,12,W 5,Scheels Center
26,27,"Sat, Feb 16, 2019",5:00p,REG,,South Dakota State,Summit,L,77,78,,14,13,L 1,Scheels Center
27,28,"Sat, Feb 23, 2019",5:00p,REG,,Omaha,Summit,L,50,58,,14,14,L 2,Scheels Center
28,29,"Thu, Feb 28, 2019",9:00p,REG,@,South Dakota,Summit,L,65,75,,14,15,L 3,Sanford Coyote Sports Center
29,30,"Sat, Mar 2, 2019",5:00p,REG,@,Purdue-Fort Wayne,Summit,W,69,66,,15,15,W 1,Hilliard Gates Sports Center
30,31,"Sun, Mar 10, 2019",7:00p,CTOURN,N,Oral Roberts,Summit,W,86,73,,16,15,W 2,Denny Sanford Premier Center
31,32,"Mon, Mar 11, 2019",7:00p,CTOURN,N,Western Illinois,Summit,W,76,73,,17,15,W 3,Denny Sanford Premier Center
32,33,"Tue, Mar 12, 2019",9:00p,CTOURN,N,Omaha,Summit,W,73,63,,18,15,W 4,Denny Sanford Premier Center
33,34,"Wed, Mar 20, 2019",6:40p,NCAA,N,North Carolina Central,MEAC,,,,,,,,
