,Game,Date,Time,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 9, 2018",8:30p,REG,@,Texas-Rio Grande Valley,WAC,W,91,76,,1,0,W 1,UTRGV Fieldhouse
1,2,"Mon, Nov 12, 2018",8:00p,REG,@,Texas-San Antonio,CUSA,W,87,67,,2,0,W 2,Convocation Center
2,3,"Sun, Nov 18, 2018",2:00p,REG,,Wofford,Southern,W,75,64,,3,0,W 3,Lloyd Noble Center
3,4,"Wed, Nov 21, 2018",12:00p,REG,N,Florida,SEC,W,65,60,,4,0,W 4,Imperial Arena at Atlantis Resort
4,5,"Thu, Nov 22, 2018",1:30p,REG,N,Wisconsin (25),Big Ten,L,58,78,,4,1,L 1,Imperial Arena at Atlantis Resort
5,6,"Fri, Nov 23, 2018",11:30a,REG,N,Dayton,A-10,W,65,54,,5,1,W 1,Imperial Arena at Atlantis Resort
6,7,"Tue, Nov 27, 2018",8:00p,REG,,North Texas,CUSA,W,73,57,,6,1,W 2,Lloyd Noble Center
7,8,"Tue, Dec 4, 2018",7:00p,REG,N,Notre Dame,ACC,W,85,80,,7,1,W 3,Madison Square Garden (IV)
8,9,"Sat, Dec 8, 2018",12:00p,REG,,Wichita State,AAC,W,80,48,,8,1,W 4,Chesapeake Energy Arena
9,10,"Sat, Dec 15, 2018",9:00p,REG,,Southern California,Pac-12,W,81,70,,9,1,W 5,
10,11,"Tue, Dec 18, 2018",9:00p,REG,,Creighton,Big East,W,83,70,,10,1,W 6,Lloyd Noble Center
11,12,"Fri, Dec 21, 2018",9:00p,REG,@,Northwestern,Big Ten,W,76,69,OT,11,1,W 7,Welsh-Ryan Arena
12,13,"Wed, Jan 2, 2019",9:00p,REG,@,Kansas (5),Big 12,L,63,70,,11,2,L 1,Allen Fieldhouse
13,14,"Sat, Jan 5, 2019",2:00p,REG,,Oklahoma State,Big 12,W,74,64,,12,2,W 1,Lloyd Noble Center
14,15,"Tue, Jan 8, 2019",9:00p,REG,@,Texas Tech (8),Big 12,L,59,66,,12,3,L 1,United Supermarkets Arena
15,16,"Sat, Jan 12, 2019",2:00p,REG,,Texas Christian (25),Big 12,W,76,74,,13,3,W 1,Lloyd Noble Center
16,17,"Wed, Jan 16, 2019",7:00p,REG,,Kansas State,Big 12,L,61,74,,13,4,L 1,Lloyd Noble Center
17,18,"Sat, Jan 19, 2019",8:00p,REG,@,Texas,Big 12,L,72,75,,13,5,L 2,Frank Erwin Center
18,19,"Wed, Jan 23, 2019",9:00p,REG,@,Oklahoma State,Big 12,W,70,61,,14,5,W 1,Gallagher-Iba Arena
19,20,"Sat, Jan 26, 2019",4:00p,REG,,Vanderbilt,SEC,W,86,55,,15,5,W 2,Lloyd Noble Center
20,21,"Mon, Jan 28, 2019",9:00p,REG,,Baylor,Big 12,L,47,77,,15,6,L 1,Lloyd Noble Center
21,22,"Sat, Feb 2, 2019",12:00p,REG,@,West Virginia,Big 12,L,71,79,,15,7,L 2,WVU Coliseum
22,23,"Mon, Feb 4, 2019",9:00p,REG,,Iowa State (17),Big 12,L,74,75,,15,8,L 3,Lloyd Noble Center
23,24,"Sat, Feb 9, 2019",4:00p,REG,,Texas Tech (18),Big 12,L,54,66,,15,9,L 4,Lloyd Noble Center
24,25,"Mon, Feb 11, 2019",9:00p,REG,@,Baylor,Big 12,L,53,59,,15,10,L 5,Ferrell Center
25,26,"Sat, Feb 16, 2019",12:00p,REG,@,Texas Christian,Big 12,W,71,62,,16,10,W 1,Ed & Rae Schollmaier Arena
26,27,"Sat, Feb 23, 2019",12:00p,REG,,Texas,Big 12,W,69,67,,17,10,W 2,Lloyd Noble Center
27,28,"Mon, Feb 25, 2019",8:00p,REG,@,Iowa State,Big 12,L,61,78,,17,11,L 1,James H. Hilton Coliseum 
28,29,"Sat, Mar 2, 2019",2:00p,REG,,West Virginia,Big 12,W,92,80,,18,11,W 1,Lloyd Noble Center
29,30,"Tue, Mar 5, 2019",9:00p,REG,,Kansas (13),Big 12,W,81,68,,19,11,W 2,Lloyd Noble Center
30,31,"Sat, Mar 9, 2019",6:00p,REG,@,Kansas State (18),Big 12,L,53,68,,19,12,L 1,Bramlage Coliseum
31,32,"Wed, Mar 13, 2019",9:00p,CTOURN,N,West Virginia,Big 12,L,71,72,,19,13,L 2,Sprint Center
32,33,"Fri, Mar 22, 2019",12:40p,NCAA,N,Mississippi,SEC,,,,,,,,
